Nº,Mes,Nombre,Victimario 1 ,Victimario 2,Estado
1,Enero,Radio Coro 780 Am,Servicio Bolivariano de Inteligencia Nacional (SEBIN),,Falcón
2,Febrero,Rumbera Network 106.5 FM,Comisión Nacional de Telecomunicaciones (CONATEL),Guardia Nacional Bolivariana (GNB),Yaracuy
3,Febrero,Rumbera Network 94.7FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Cojedes
4,Febrero,Tropical 99.7 FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Aragua
5,Marzo,Trujillo Stereo 102.5 FM ,Desconocido,,Trujillo
6,Marzo,Radio Fe y Alegría 850 AM,Desconocido,,Zulia
7,Abril,Ritmo Stereo 99.5 FM,Corporación Eléctrica Nacional (Corpoelec),,Mérida
8,Abril,Ambiente 96.1 FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Guárico
9,Abril,Radio Caracas Radio (RCR) ,Comisión Nacional de Telecomunicaciones (CONATEL),,Dtto. Capital
10,Mayo,Éxitos 100.9 FM,Desconocido,,Mérida
11,Mayo,Radio Nacional de Venezuela ,Desconocido,,Mérida
12,Mayo,Oestereo 99.7 FM,Guardia Nacional Bolivariana (GNB),,Monagas
13,Mayo,La MegaHertz 96.5 FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Apure
14,Mayo,Radio Criolla 92.9 FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Apure
15,Mayo,Radio Carora 640 AM,Desconocido,,Lara
16,Junio,ULA FM 107.7,Desconocido,,Mérida
17,Junio,Radio Plus 94.9 FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Monagas
18,Agosto,Radio Mundial 860 AM,Desconocido,,Táchira
19,Agosto,Radio Cultural,Desconocido,,Táchira
20,Agosto,Z 89.1 FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Trujillo
21,Agosto,Super Estación 107.3 FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Yaracuy
22,Agosto,RBI 90.9 FM,Guardia Nacional Bolivariana (GNB),,Táchira
23,Octubre,Médano Radio 95.5 FM,Comisión Nacional de Telecomunicaciones (CONATEL),Guardia Nacional Bolivariana (GNB),Falcón
24,Octubre,Extrema 92.5 FM,Comisión Nacional de Telecomunicaciones (CONATEL),Guardia Nacional Bolivariana (GNB),Falcón
25,Octubre,Radio Fe y Alegría 103.7 Fm,Corporación Eléctrica Nacional (Corpoelec),,Apure
26,Noviembre,Jet 95.3 FM,Comisión Nacional de Telecomunicaciones (CONATEL),,Falcón
27,Noviembre,Imaginaición 94.1 Fm,Comisión Nacional de Telecomunicaciones (CONATEL),Guardia Nacional Bolivariana (GNB),Apure
